Date,Hub Name,Promise,NCB,CB,Non-Daily,Total Breach,WeekNum
19-Apr-20,Hub 1,63,0,0,0,0,17
19-Apr-20,Hub 2,400,0,0,0,0,17
19-Apr-20,Hub 3,58,0,0,0,0,17
19-Apr-20,Hub 4,247,0,0,0,0,17
19-Apr-20,Hub 5,337,0,0,0,0,17
19-Apr-20,Hub 6,84,0,0,0,0,17
19-Apr-20,Hub 7,1,0,0,0,0,17
26-Apr-20,Hub 1,109,0,0,0,0,18
26-Apr-20,Hub 2,602,0,0,0,0,18
26-Apr-20,Hub 3,178,0,0,0,0,18
26-Apr-20,Hub 4,374,0,0,0,0,18
26-Apr-20,Hub 5,798,0,0,0,0,18
26-Apr-20,Hub 6,8,0,0,0,0,18
26-Apr-20,Hub 7,0,0,0,0,0,18
26-Apr-20,Hub 8,0,0,0,0,0,18
